id_unico,Serie,Temporada,Episodio,Nombre_Completo,Fecha_alaire,Premier,Cod_Pais,Pais,Tipo_#,Tipo,Estado_Film_#,Estado_Film,Genero_1_#,Genero_1,Genero_2,Genero_3,Genero_4,Avg_Runtime,Avg_rating,pag_web
1968547,something-just-like-this-,1,Episode 44,something-just-like-this-1x44-episode-44,2020-12-01,2020-11-08,nan,nan,1,regular,0,Ended,17,Romance,,,,45.0,,https://www.tvmaze.com/episodes/1968547/something-just-like-this-1x44-episode-44
2336906,oriental-casablanca-,1,Episode 21,oriental-casablanca-1x21-episode-21,2020-12-01,2020-11-23,nan,nan,1,regular,0,Ended,7,Drama,Romance,,,45.0,,https://www.tvmaze.com/episodes/2336906/oriental-casablanca-1x21-episode-21
1976026,twisted-fate-of-love-,1,Episode 15,twisted-fate-of-love-1x15-episode-15,2020-12-01,2020-11-23,CN,China,1,regular,0,Ended,7,Drama,Romance,History,,45.0,,https://www.tvmaze.com/episodes/1976026/twisted-fate-of-love-1x15-episode-15
1976027,twisted-fate-of-love-,1,Episode 16,twisted-fate-of-love-1x16-episode-16,2020-12-01,2020-11-23,CN,China,1,regular,0,Ended,7,Drama,Romance,History,,45.0,,https://www.tvmaze.com/episodes/1976027/twisted-fate-of-love-1x16-episode-16
1976134,insect-detective-,1,Episode 21,insect-detective-1x21-episode-21,2020-12-01,2020-11-03,CN,China,1,regular,0,Ended,7,Drama,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1976134/insect-detective-1x21-episode-21
1976135,insect-detective-,1,Episode 22,insect-detective-1x22-episode-22,2020-12-01,2020-11-03,CN,China,1,regular,0,Ended,7,Drama,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1976135/insect-detective-1x22-episode-22
1976152,new-face-,1,Episode 11,new-face-1x11-episode-11,2020-12-01,2020-11-24,CN,China,1,regular,0,Ended,1,Action,Crime,Thriller,,45.0,,https://www.tvmaze.com/episodes/1976152/new-face-1x11-episode-11
1976153,new-face-,1,Episode 12,new-face-1x12-episode-12,2020-12-01,2020-11-24,CN,China,1,regular,0,Ended,1,Action,Crime,Thriller,,45.0,,https://www.tvmaze.com/episodes/1976153/new-face-1x12-episode-12
1976183,psych-hunter-,1,Episode 17,psych-hunter-1x17-episode-17,2020-12-01,2020-11-23,nan,nan,1,regular,0,Ended,7,Drama,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1976183/psych-hunter-1x17-episode-17
1976184,psych-hunter-,1,Episode 18,psych-hunter-1x18-episode-18,2020-12-01,2020-11-23,nan,nan,1,regular,0,Ended,7,Drama,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1976184/psych-hunter-1x18-episode-18
1987939,maryland-farm-harvest-,8,Episode 4,maryland-farm-harvest-8x97-episode-4,2020-12-01,2013-11-19,US,United States,1,regular,1,Running,10,Food,Nature,,,27.0,,https://www.tvmaze.com/episodes/1987939/maryland-farm-harvest-8x97-episode-4
1977503,cheat-1x01-se,1,Sex and Magic,cheat-1x01-sex-and-magic,2020-12-01,2020-12-01,nan,nan,1,regular,1,Running,7,Drama,Romance,Supernatural,,26.0,8.0,https://www.tvmaze.com/episodes/1977503/cheat-1x01-sex-and-magic
1977630,to-love-,1,Episode 19,to-love-1x19-episode-19,2020-12-01,2020-11-19,CN,China,1,regular,0,Ended,6,Crime,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1977630/to-love-1x19-episode-19
1977631,to-love-,1,Episode 20,to-love-1x20-episode-20,2020-12-01,2020-11-19,CN,China,1,regular,0,Ended,6,Crime,Thriller,Mystery,,45.0,,https://www.tvmaze.com/episodes/1977631/to-love-1x20-episode-20
1977809,the-holiday-movies-that-made-us-,1,Elf,the-holiday-movies-that-made-us-1x01-elf,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,45.0,7.5,https://www.tvmaze.com/episodes/1977809/the-holiday-movies-that-made-us-1x01-elf
1977810,the-holiday-movies-that-made-us-,1,Nightmare Before Christmas,the-holiday-movies-that-made-us-1x02-nightmare-before-christmas,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,45.0,,https://www.tvmaze.com/episodes/1977810/the-holiday-movies-that-made-us-1x02-nightmare-before-christmas
1978545,wayward-guide-,1,In Sheep's Clothing,wayward-guide-1x08-in-sheeps-clothing,2020-12-01,2020-10-13,nan,nan,1,regular,0,Ended,5,Comedy,Fantasy,Mystery,,11.0,,https://www.tvmaze.com/episodes/1978545/wayward-guide-1x08-in-sheeps-clothing
1988299,nwa-shockwave-,1,Episode 1,nwa-shockwave-1x01-episode-1,2020-12-01,2020-12-01,nan,nan,1,regular,1,Running,0,,,,,45.0,,https://www.tvmaze.com/episodes/1988299/nwa-shockwave-1x01-episode-1
2033284,33-rebenka-,1,1 серия,33-rebenka-1x01-1-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033284/33-rebenka-1x01-1-seria
2033285,33-rebenka-,1,2 серия,33-rebenka-1x02-2-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033285/33-rebenka-1x02-2-seria
2033286,33-rebenka-,1,3 серия,33-rebenka-1x03-3-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033286/33-rebenka-1x03-3-seria
2033287,33-rebenka-,1,4 серия,33-rebenka-1x04-4-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033287/33-rebenka-1x04-4-seria
2033288,33-rebenka-,1,5 серия,33-rebenka-1x05-5-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033288/33-rebenka-1x05-5-seria
2033289,33-rebenka-,1,6 серия,33-rebenka-1x06-6-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033289/33-rebenka-1x06-6-seria
2033290,33-rebenka-,1,7 серия,33-rebenka-1x07-7-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033290/33-rebenka-1x07-7-seria
2033291,33-rebenka-,1,8 серия,33-rebenka-1x08-8-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033291/33-rebenka-1x08-8-seria
2033292,33-rebenka-,1,9 серия,33-rebenka-1x09-9-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033292/33-rebenka-1x09-9-seria
2033293,33-rebenka-,1,10 серия,33-rebenka-1x10-10-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033293/33-rebenka-1x10-10-seria
2033294,33-rebenka-,1,11 серия,33-rebenka-1x11-11-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033294/33-rebenka-1x11-11-seria
